Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
31374	161	Chthonius apollinis Mahnert, 1978	Spilaio Korykeio Antro	51	Harvey 1991|Beron 2016|Mahnert 1978|Lindberg 1955b	1193|706|302|141
20872	162	Chthonius chius Schawaller, 1990	Spilaio Agiou Galaktos	165	Beron 2016|Schawaller 1990	706|451
22608	163	Chthonius corcyraeus Mahnert, 1976	Spilaio Anthropograva	166	Beron 2016|Gardini 1988|Schawaller 1990|Harvey 1991	706|429|451|1193
26950	163	Chthonius corcyraeus Mahnert, 1976	Spilaio Megali Grava	4	Harvey 1991|Schawaller 1990|Gardini 1988|Mahnert 1976b|Beron 2016	1193|451|429|276|706
23005	164	Chthonius creticus Mahnert, 1979	Spilaio Milatou	15	Harvey 1991|Schawaller 1990|Mahnert 1979|Beron 2016	1193|451|310|706
22471	165	Chthonius cryptus Chamberlin, 1962	Spilaio Kokkinou Vrachou	49	Beron 2016|Mahnert 1979|Mahnert 1978|Mahnert 1975|Heurtault 1972|Chamberlin 1962|Wolf 1938|Wolf 1937b|Simon 1885	706|310|302|264|241|182|97|92|8
31181	166	Chthonius daedaleus Mahnert, 1979	Spilaio Thergiospilios	167	Harvey 1991|Schawaller 1990|Mahnert 1979|Beron 2016	1193|451|310|706
22519	167	Chthonius diophthalmus Dabay, 1888	Spilaio Profiti Ilia	142	Mahnert 1978|Beron 2016|Mahnert 1979	302|706|310
22649	168	Chthonius gasparoi Gardini, 1989	Spilaio Alistratis	59	Beron 2016|Gardini 1988|Harvey 1991	706|429|1193
23127	169	Chthonius graecus Beier, 1963	Spilaio Petala	168	Beier 1963|Harvey 1991|Beier 1965|Mahnert 1975|Mahnert 1978|Beron 2016	187|1193|196|264|302|706
30922	170	Chthonius herbarii Mahnert, 1979	Spilaio Katholikou	21	Henderickx 1997|Schawaller 1990|Harvey 1991|Mahnert 1979|Beron 2016	503|451|1193|310|706
22553	171	Chthonius imperator Mahnert, 1978	Spilaio Garzenikou	3	Beron 2016|Mahnert 1978|Harvey 1991	706|302|1193
26951	172	Chthonius ischnocheles (Hermann, 1804)	Spilaio Megali Grava	4	Mahnert 1973|Beron 2016	254|706
22505	173	Chthonius lindbergi Beier, 1956	Spilaio Neraidospilios 	113	Harvey 1991|Mahnert 1979|Beron 2016|Beier 1963|Beier 1956|Schawaller 1990	1193|310|706|187|158|451
6128	174	Chthonius minotaurus Henderickx, 1997	Spilaio Kourna	169	Henderickx 1997|Beron 2016	503|706
22988	175	Chthonius minous Mahnert, 1979	Spilaio Milatou	15	Mahnert 1979|Beron 2016|Schawaller 1990|Harvey 1991|Gardini 1988	310|706|451|1193|429
22989	175	Chthonius minous Mahnert, 1979	Spilaio Melidoniou	58	Harvey 1991|Schawaller 1990|Beron 2016|Gardini 1988|Mahnert 1979	1193|451|706|429|310
22021	176	Chthonius orthodactylus (Leach, 1817)	Spilaio Monis Timiou Prodromou	170	Beron 2016|Lindberg 1955b	706|141
4098	177	Chthonius petrochilosi Heurtault, 1972	Spilaio Koutouki	86	Mahnert 1979	310
28806	177	Chthonius petrochilosi Heurtault, 1972	Spilaio Kerateas	7	Heurtault 1972|Mahnert 1975|Mahnert 1978|Mahnert 1979|Beron 2016	241|264|302|310|706
31182	178	Chthonius platakisi Mahnert, 1979	Spilaio Thergiospilios	167	Beron 2016|Mahnert 1979|Harvey 1991	706|310|1193
22494	179	Chthonius ponticoides Mahnert, 1975	Spilaio Limnon	32	Mahnert 1975|Beron 2016|Harvey 1991	264|706|1193
22634	180	Chthonius samius Mahnert, 1982	Spilaio Agias Triadas	156	Mahnert 1982|Beron 2016|Schawaller 1990|Harvey 1991	351|706|451|1193
22635	180	Chthonius samius Mahnert, 1982	Spilaio Panagias Makrynis	171	Schawaller 1990|Harvey 1991|Beron 2016|Mahnert 1982	451|1193|706|351
22636	180	Chthonius samius Mahnert, 1982	Spilaio Panagias Spilianis	158	Harvey 1991|Schawaller 1990|Mahnert 1982|Beron 2016	1193|451|351|706
3568	181	Chthonius schmalfussi Schawaller, 1990	Spilaio Zoodochou Pigis I	71	Beron 1985|Schawaller 1990|Gasparo 2009|Mahnert 2013|Beron 2016	399|451|629|677|706
6272	181	Chthonius schmalfussi Schawaller, 1990	Spilaio Zoodochou Pigis II	172	Mahnert 2013	677
22954	182	Chthonius sestasi Mahnert, 1979	Spilaio Kokkinou Vrachou	49	Harvey 1991|Beron 2016|Mahnert 1979	1193|706|310
22955	182	Chthonius sestasi Mahnert, 1979	Spilaio Liparotrypa	173	Harvey 1991|Beron 2016|Mahnert 1979	1193|706|310
22956	182	Chthonius sestasi Mahnert, 1979	Spilaio Nymfon	132	Mahnert 1979|Beron 2016|Harvey 1991	310|706|1193
1220	183	Chthonius siculus Beir, 1961	Spilaio Agias Paraskevis	13	Mahnert 1979|Beron 2016	310|706
2284	184	Chthonius sp.	Spilaio Agias Triadas	37	Beron 2016	706
2396	184	Chthonius sp.	Spilaio Katafygi	40	Beron 2016	706
3429	184	Chthonius sp.	Spilaio Mythia Kabathoura	67	Beron 2016	706
3524	184	Chthonius sp.	Spilaio sta Pelekita	69	Mahnert 1979|Beron 2016	310|706
5019	184	Chthonius sp.	Spilaio Spiliara Almyrou	114	Mahnert 1979|Beron 2016	310|706
6305	184	Chthonius sp.	Spilaio Trypa tou Kalyvaki	174	Mahnert 1979	310
31089	185	Chthonius strinatii Mahnert, 1975	Spilaio Glyfadas Dirou	29	Beron 2016|Mahnert 1975|Harvey 1991	706|264|1193
15374	186	Chthonius tetrachelatus (Preyssler, 1790)	Spilaio Agias Sofias	36	Beron 2016|Mahnert 1978	706|302
22938	187	Chthonius thessalus Mahnert, 1979	Spilaio Profiti Ilia	142	Harvey 1991|Mahnert 1979|Beron 2016	1193|310|706
5647	188	Chthonius tuberculatus Hadzi, 1937	Spilaio Profiti Ilia	142	Mahnert 1978|Mahnert 1979|Beron 2016	302|310|706
