Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
19157	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Katafygi	40	Beron 2016	706
19158	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Katafygi	116	Beron 2016|Hanak et al. 2001|Iliopoulou-Georgudaki 1983b|Iliopoulou-Georgudaki 1977	706|537|372|290
19160	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Agias Triadas	37	Beron 2016	706
19161	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Kontylos	92	Alexiou et al. 2014	681
19163	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Agiou Athanasiou	93	Alexiou et al. 2014	681
20036	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Kamilari	74	Benda et al. 2008	616
21869	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Melissotrypa	185	Papamichael et al. 2014	1175
22217	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Psimaki	321	Benda et al. 2008|Papamichael et al. 2014	616|1175
22250	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Meires	317	Benda et al. 2008	616
22322	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Vigla	309	Papamichael et al. 2014	1175
26254	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Zoure	271	Beron 2016|Benda et al. 2008|Martens 1967	706|616|206
27168	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Sfentoni Trypa	26	Benda et al. 2008	616
29897	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Kryoneridas	351	Kolebinova & Vercammen-Grandjean 1971|Kolebinova 1970|Beron 2016|Benda et al. 2008|Beron 1970	234|223|706|616|222
37742	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Pelade	170	Papamichael et al. 2014	1175
38619	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Katavothra Aliartou	221	Papamichael et al. 2014	1175
41858	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Kakavoulas	73	Lindberg 1955d|Van Laar & Daan 1964|Ondrias 1965|Iliopoulou-Georgudaki 1977|Hanak et al. 2001|Beron 2016	145|193|195|290|537|706
42513	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Mameloukou Trypa	346	Benda et al. 2008|Papamichael et al. 2014	616|1175
42588	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Panagias Arkoudiotisas	68	Martens 1967|Benda et al. 2008|Beron 2016	206|616|706
42863	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Agias Sofias	22	Beron 2016|Benda et al. 2008|Martens 1967	706|616|206
43001	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Achyrospilios	255	Beron 2016|Martens 1967|Benda et al. 2008	706|206|616
43048	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Kalamato	54	Benda et al. 2008	616
43835	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Diktaio Antro	16	Beron 2016|Paragamian 1994	706|483
44069	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Geraniou	148	Benda et al. 2008	616
45499	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Lavyrinthos Gortinas	24	Benda et al. 2008	616
46565	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Milatou	15	Beron 2016|Benda et al. 2008|Skiba 2007|Hanak et al. 2001|Iliopoulou-Georgudaki 1983b|Iliopoulou-Georgudaki 1977	706|616|605|537|372|290
47363	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Korykeio Antro	51	Alexiou et al. 2014	681
47487	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Arkoudospilia	77	Papamichael et al. 2014	1175
48686	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Mikropolis	318	Hanak et al. 2001	537
48764	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Stravomyti	337	Benda et al. 2008	616
48819	726	Rhinolophus hipposideros (Bechstein, 1800)	Cave Monastery at Meteora	376	Hanak et al. 2001	537
48824	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Nestoros	391	Hanak et al. 2001	537
49092	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Melidoniou	58	Skiba 2007|Benda et al. 2008	605|616
49234	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Zachariadi	374	Hanak et al. 2001|Papadatou et al. 2012|Papadatou et al. 2011	537|1238|646
49551	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Tserna	464	Papadatou et al. 2011|Papadatou et al. 2012	646|1238
49582	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Kokkali	462	Papadatou et al. 2011|Papadatou et al. 2012	646|1238
49622	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Mikrolimnis	466	Papadatou et al. 2011|Papadatou et al. 2012	646|1238
49899	726	Rhinolophus hipposideros (Bechstein, 1800)	Katratzides mine galleries	467	Papadatou 2010	634
50034	726	Rhinolophus hipposideros (Bechstein, 1800)	Tsoutouros mine galleries	326	Papadatou 2010	634
50544	726	Rhinolophus hipposideros (Bechstein, 1800)	Spilaio Maroneias	80	Hanak et al. 2001|Beron 2016|Paragamian et al. 2004	537|706|1178
19266	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Nymfis	264	Strinati 1955|Beron 2016|Hanak et al. 2001|Iliopoulou-Georgudaki 1983b|Iliopoulou-Georgudaki 1977	140|706|537|372|290
19268	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Symittou	342	Beron 2016|Hanak et al. 2001|Iliopoulou-Georgudaki 1983b|Iliopoulou-Georgudaki 1977	706|537|372|290
19271	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Chrysopigis	102	Aellen 1955|Lindberg 1955d|Iliopoulou-Georgudaki 1977|Iliopoulou-Georgudaki 1983b|Hanak et al. 2001|Beron 2016	139|145|290|372|537|706
19273	727	Rhinolophus mehelyi Matschie, 1901	Ancient mine 4 km E of Efthalou	314	Hanak et al. 2001	537
