ID	Short	Title	Year	Section
725	Aliprantis 1962	The cave “Daimonon” of Paros (CRNr 1398)	1962	Bull. Soc. Speleol. Grèce 6:9–13.
726	Anastasakis & Dermitzakis 1994	Karstic phaenomena and enviromental conditions in the coastal area of Aghios Nikolaos Kriti : the collapses doline of Aghios Nikolaos lake and the cave pot hole of Aghios Charalambos	1994	Bull. Soc. Speleol. Grèce 21:34–39.
727	Angelopoulou 1934	The cave of Karystos	1934	To Vouno Greek Mountaineering Club. 1:242–245.
728	Angelopoulou 1935	The cave of Ermis at Zireia	1935	To Vouno Greek Mountaineering Club. 2:16-19.
729	Anonymous 1957a	Cave Charchampolis (CRNr 879)	1957	Bull. Soc. Speleol. Grèce 4:46.
730	Anonymous 1958b	New researches of the caves in the area of Dyros	1958	Bull. Soc. Speleol. Grèce 4:127-149.
731	Anonymous 1960c	About th cave n1029  "Mavri Troupa" of islet Schiza (Messinia)	1960	Bull. Soc. Speleol. Grèce 5:138-140.
732	Anonymous 1966d	The cave of Tsouka, Pilio	1966	Bull. Soc. Speleol. Grèce 8:143.
733	Argyriadis & Kirdis 1994	Cave - underground river of Genitsari, Setta - Evvoia	1994	Bull. Soc. Speleol. Grèce 21:400–402.
734	Avagiannos 1989	Speleological researches at the area of Olympos, Chios	1989	Bull. Soc. Speleol. Grèce 19:136-140.
735	Avagiannos et al. 1990	Vertical caves of Lesvos	1989	Bull. Soc. Speleol. Grèce 19:157–159.
736	Avdis 1957	The cave of Maroneia	1957	Bull. Soc. Speleol. Grèce 4:19–20.
737	Bartsiokas 1982	The collapsed absorption pothole “Koudounotrypa” of Pyli, Trikala	1982	Bull. Soc. Speleol. Grèce 18:411–417.
738	Brousalis 1954	Karkaros of pigeons of Elikonas	1954	To Vouno Greek Mountaineering Club.
739	Brousalis 1961	The pothole "Propanti" of Leontari	1961	To Vouno Greek Mountaineering Club.
740	Brunet 1994	Le massif de l’ Ida	1994	Bull. Soc. Speleol. Grèce 21:40–48.
741	Chalkiadakis 1992	Geological observations at the pothole “Drakopigado” of Mavrovouni, Kanalia, Magnisia	1992	Bull. Soc. Speleol. Grèce 20:113.
742	Charalampous 1961	The reasons of the elimination of the bats in cave of Perama, Ioannin	1961	Bull. Soc. Speleol. Grèce 6:25.
743	Chatzilazaridis 1975	Geological observations in the area of the cave of Kastro, Ioannina	1975	Bull. Soc. Speleol. Grèce 13:114.
744	Chatzilazaridis 1978a	The pothole - Karstic well of Vouliagmeni, Attiki	1978	Bull. Soc. Speleol. Grèce 15:78–89.
745	Chatzilazaridis 1978b	Speleological researches in the island of Kos, Dodekanisa	1978	Bull. Soc. Speleol. Grèce 15:90–107.
746	Chatzilazaridis 1979	Karstik phaenomen at Korakovouni, Ymittos, Attiki	1979	Bull. Soc. Speleol. Grèce 16:50–76.
747	Chatzilazaridis 1989a	The cave - underground river “Voskonero” or "Voskovrysi" of Mesoropi, mountain Pangaio, Kavala	1989	Bull. Soc. Speleol. Grèce 19:75–81.
748	Chatzilazaridis 1989b	Caves of Mesia - Melissa and Myrtofyto Symvolou, Kavala	1989	Bull. Soc. Speleol. Grèce 19:89–93.
749	Chofolidis 1961	Contribution to the speleological bibliography	1961	Bull. Soc. Speleol. Grèce 6:22–24.
750	Choreftaki et al. 2006	The caves Achnistres and Lachtaride at the coast of Milatos (Irakleio, Kriti)	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 25-29.
751	Choutzaios 1982a	The caves Lesvos as christian temples	1982	Bull. Soc. Speleol. Grèce 18:198–204.
752	Choutzaios 1982b	The cave "Agiou Ioanni" or "Fousa" at Mychou, Lesvos	1982	Bull. Soc. Speleol. Grèce 18:367–372.
753	Dedegian et al. 2006	The pothole "Tafkos" at Moni Savvathianon	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete.
754	Dedegian & Paragamian 2006	The artificial arcade in the mirror of Plakias, Rethymno	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 107-109.
755	Deligiorgi & Ioannou 1989	The cave of Evmenides or Byrnas or Pyrnas (CRNr 2784)	1989	Bull. Soc. Speleol. Grèce Hellenic Speleological Society.
756	Deligiorgi 1982	The caves of Attiki dedicated to deity Panas: findings and excavations	1982	Bull. Soc. Speleol. Grèce 18:245–250.
757	Deligiorgi-Alexopoulou 1980	The caves of Attiki dedicated to deity Panas: findings and excavations	1980	Bull. Soc. Speleol. Grèce 17:126-176.
758	Deligiorgi-Alexopoulou 1985a	The caves of Attiki dedicated to deity Panas	1985	Bull. Soc. Speleol. Grèce
759	Deligiorgi-Alexopoulou 1985b	Korykeio Antro	1985	Bull. Soc. Speleol. Grèce
760	Desio 1923	La tredicesima isola del Dodecaneso L’ Isola di Castelrosso	1923	Rivista Mensile del T.C.I. - La Vie d’Italia 29:651–658.
761	Desio 1928	La morfologia carsica dell’Isola di Castelrosso (Mar di Levante)	1928	Rivista GDI 1–7.
762	Dimitrelos 1989	The cave “Drakontospilia” of Anafi	1989	Bull. Soc. Speleol. Grèce 19:111–112.
763	Faure 1956	Grottes explorees en 1953 en Crete qui ne figurent pas au bulletin le la Soc Speleol Grèce	1956	Bull. Soc. Speleol. Grèce 7:154–158.
764	Faure 1958	Grottes explorees en 1957 et 1958 en Crete	1958	Bull. Soc. Speleol. Grèce 4:113–118.
765	Faure 1961	Grottes explorees en 1959 et 1960 en Crete et qui ne figuiraient pas encore dans le bulletin de la societe speleologique de Grece	1961	Bull. Soc. Speleol. Grèce 6:12–16.
766	Faure 1962	15 gottes explorees en Crete en 1961	1962	Bull. Soc. Speleol. Grèce 6:19–21.
767	Faure 1971	The engraved inscriptions of the cave of Asfentou, Sfakia	1971	Amaltheia 277–283.
768	Faure 1985	The sacred caves of Crete	1985	Archaiologia 8–13.
769	Filippou-Angelou 1989	Paneio of Anaflystos (CRNr 7530)	1989	Bull. Soc. Speleol. Grèce 19:131–133.
770	Forney 1972	Caves an karst of the Argolic Peninsula Greece	1972	Bull. Soc. Speleol. Grèce 11:151–159.
771	Foteinakis et al. 2006a	New section of the cave "Chainospilios" at Kamaraki, Malevizi	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 115-116.
772	Foteinakis et al. 2006b	A recently found sacred cave at Siteia (municipality of Itanos)	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 77-81.
773	Fournier 1994	Le labyrinthe de Crete	1994	Bull. Soc. Speleol. Grèce 21:430–448.
774	Galanopoulou 1989	Speleological researches in the area of Velestino, Magnisia	1989	Bull. Soc. Speleol. Grèce 19:100–104.
775	Georgalas 1959	Identifing exploration of the cave Aspria, Anavryti	1959	Bull. Soc. Speleol. Grèce
776	Georgiakakis et al. 2006	The caves of Latsida Vreikou and Apoloustres at Pefkoi of Makrys Gialos (Lasithi)	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 47-51.
777	Geromitsos 1956	The cave of Fournoi	1956	Bull. Soc. Speleol. Grèce 3:174–176.
778	Geromitsos 1961	The cave “Paliouras” (CRNr 927)	1961	Bull. Soc. Speleol. Grèce 6:12–13.
779	Geromitsos 1967	The caves of Preventza, Eparchia Valtou (CRNr 3543 - 3550)	1967	Bull. Soc. Speleol. Grèce 9:36–41.
780	Giannopoulos  1994	Karst of Mani	1994	Bull. Soc. Speleol. Grèce 21:72–87.
781	Gkargkoula 1994	Elatospilia	1994	Bull. Soc. Speleol. Grèce 21:403–404.
782	Grafios-Nidas 1952	Speleological researches in Leros	1952	Bull. Soc. Speleol. Grèce 1:277–285.
783	Grafios-Nidas 1971	The cave of Megalommata, Pilio	1971	Bull. Soc. Speleol. Grèce 11:83.
784	Iliopoulos et al. 2000	The cave “Tou Kolokotroni”, Ydra	2000	Bull. Soc. Speleol. Grèce 21:141–142.
785	Ioannou 1961a	The cave Mavris Troupas, island Schiza, Methoni, Messinia (CRNr	1961	Bull. Soc. Speleol. Grèce 6:10–13.
786	Ioannou 1961b	The cave of Panas, Marathonas (CRNr 1067)	1961	Bull. Soc. Speleol. Grèce 6:30–32.
787	Ioannou 1962	The cave in the area of Atalanti	1962	Bull. Soc. Speleol. Grèce 6:16–17.
788	Ioannou 1963a	The cave “Kalogirou” (CRNr 2201)	1963	Bull. Soc. Speleol. Grèce 7:61–62.
789	Ioannou 1963b	The cave “Kanavari” (CRNr1986)	1963	Bull. Soc. Speleol. Grèce 7:25–28.
790	Ioannou 1964	The cave “Kostas” in mountain Sarakino, Pilio, Volos	1964	Bull. Soc. Speleol. Grèce 7:217–220.
791	Ioannou 1966a	The cave Katochi, village Katochi, Mesolongi (CRNr3520)	1966	Bull. Soc. Speleol. Grèce 8:195–200.
792	Ioannou 1966b	The cave-mine of Lefki, Kavala (CRNr1128)	1966	Bull. Soc. Speleol. Grèce 8:137–142.
793	Ioannou 1966c	Four caves in the area of Volos	1966	Bull. Soc. Speleol. Grèce 8:223–233.
794	Ioannou 1967	The cave Eftamylon, Serres (CRNr 3510)	1967	Bull. Soc. Speleol. Grèce 9:42–49.
795	Ioannou 1969a	Speleological researches in the area of “Dolo”, region of Ioannina	1969	Bull. Soc. Speleol. Grèce 10:37–42.
796	Ioannou 1969b	The cave “Kolakas”, village Kolakas, Lokrida (CRNr 2216)	1969	Bull. Soc. Speleol. Grèce 10:68–71.
797	Ioannou 1969c	The underground river "Sarazani” in the area of Zevgolatio, Korinthia (CRNr	1969	Bull. Soc. Speleol. Grèce 10:93–94.
798	Ioannou 1970a	The cave Kera - Panagia of Oia, Thira No 1 (CRNr 3618)	1970	Bull. Soc. Speleol. Grèce 10:71–77.
