ID	Short	Title	Year	Section
870	Lindberg 1955a	Notes sur le grottes de l΄ île de Crète	1955	Fragm. balc. Skopje 1(19):165-174.
871	Lindberg 1955b	Notes sur le grottes de la Grèce	1955	Acta Mus. Macedonici Sci. Nat. 3(2):41-69.
872	Makris 1938	The caves “Vagia” and “Baroutotrypa”	1938	To Vouno Greek Mountaineering Club. 5:138–140.
873	Makris 1940	The cave Routsi	1940	To Vouno Greek Mountaineering Club. 7:10–13.
874	Makris 1969	The cave “Gerani” of Rethymno (CRNr 3553)	1969	Bull. Soc. Speleol. Grèce 10:95–101.
875	Makris 1989	The cave Prinou, Rethymno (CRNr 7501)	1989	Bull. Soc. Speleol. Grèce 19:216–232.
876	Makris 2000	Non-recorded churches in rocky cavities in the area of former municipality of Foinikas, Rethymno, Kriti	2000	Bull. Soc. Speleol. Grèce 22:109–118.
877	Mandalaki 1953	The cave Kerato	1953	Bull. Soc. Speleol. Grèce 2:148–149.
878	Mavropoulos 1969	The pothole “Agiou Sosti” of Trifylia	1989	Bull. Soc. Speleol. Grèce 19:141.
879	Mercer 1963	Expedition of Cambridge to the mountains of Pindos (1962)	1963	Bull. Soc. Speleol. Grèce 7:42–46.
880	Merdenesianos 1969	The cave “Megali Grava” of Loutsoi, Kerkyra (CRNr 3554) Bull HSS 10:102–104	1969	Bull. Soc. Speleol. Grèce 10:102–104.
881	Merdenesianos 1970	The cave “Drakotrypa” of Anavryti, Nafpaktia (CRNr 972)	1970	Bull. Soc. Speleol. Grèce 10:116–118.
882	Merdenesianos 1971	The cave “Koukouri” of Drialos, Lakonia (CRNr 373)	1971	Bull. Soc. Speleol. Grèce 11:23–26.
883	Merdenesianos 1976	The cave “Drakotrypa” of Anavryti, Nafpaktia (CRNr 972)	1970	Bull. Soc. Speleol. Grèce 13:241–250.
884	Merdenesianos 1978	Speleological researches in the region of Rodopi	1978	Bull. Soc. Speleol. Grèce 15:22–32.
885	Merdenesianos 1982	Caves - temples of Taygetos	1982	Bull. Soc. Speleol. Grèce 18:205–218.
886	Merdenesianos 1994	The sanative caves “Kaiafa” and “Kounoupeliou” in the region of Ileia: sanative cave “Anigridon Nymfon” loutra Kaiafas, Ileia	1994	Bull. Soc. Speleol. Grèce 21:413–426.
887	Merdenesianos 2000a	The cave “Katafygi” of Anavryti, Sparti, Lakonia	2000	Bull. Soc. Speleol. Grèce 21:179–184.
