Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
64158	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Kalamato	54	Schmalfuss et al. 2004|Vandel 1968|Schmalfuss 1979|Beron 2016	572|213|317|706
64160	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Agias Sofias	22	Vandel 1958|Schmalfuss 1972b|Schmalfuss 1979|Schmalfuss et al. 2004|Beron 2016	163|248|317|572|706
64161	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Tzani Spilios	136	Schmalfuss 1975|Schmalfuss 1979|Andreev 1986|Schmalfuss et al. 2004	267|317|417|572
64162	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Agias Paraskevis	13	Schmalfuss et al. 2004|Beron 2016	572|706
64163	847	Trichoniscus lindbergi Vandel, 1958	Varathro Lakki Kontari	177	Beron 2016|Schmalfuss et al. 2004	706|572
64164	847	Trichoniscus lindbergi Vandel, 1958	Varathro Rikomaschalo	429	Beron 2016|Schmalfuss et al. 2004	706|572
64165	847	Trichoniscus lindbergi Vandel, 1958	Varathro Skararolithos	430	Beron 2016|Schmalfuss et al. 2004	706|572
64166	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Chainospilios	260	Schmalfuss 1979|Beron 2016|Schmalfuss et al. 2004	317|706|572
64167	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Chamoto Spiliari	420	Schmalfuss et al. 2004	572
64169	847	Trichoniscus lindbergi Vandel, 1958	Varathro Megalos Tafkos	428	Beron 2016|Schmalfuss et al. 2004	706|572
64171	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Kamilari	74	Schmalfuss et al. 2004|Beron 2016	572|706
64172	847	Trichoniscus lindbergi Vandel, 1958	Varathro Maratholakkou	427	Schmalfuss et al. 2004	572
64174	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Apoloustres	363	Beron 2016|Schmalfuss et al. 2004	706|572
64175	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Vreikou	89	Schmalfuss et al. 2004|Beron 2016	572|706
64177	847	Trichoniscus lindbergi Vandel, 1958	Varathro Tafkos stin Pode Faranga	436	Beron 2016|Schmalfuss et al. 2004	706|572
64178	847	Trichoniscus lindbergi Vandel, 1958	Varathro Stou Diakoumou ti Riza	432	Beron 2016|Schmalfuss et al. 2004	706|572
64179	847	Trichoniscus lindbergi Vandel, 1958	Varathro Tafkos Myristis	434	Beron 2016|Schmalfuss et al. 2004	706|572
64180	847	Trichoniscus lindbergi Vandel, 1958	Varathro Tafkos sto Xepatomeno Aloni	437	Beron 2016|Schmalfuss et al. 2004	706|572
64181	847	Trichoniscus lindbergi Vandel, 1958	Varathro Xylouri Tafkos	438	Beron 2016|Schmalfuss et al. 2004	706|572
64182	847	Trichoniscus lindbergi Vandel, 1958	Varathro Kaoudi Tafkos	424	Beron 2016|Schmalfuss et al. 2004	706|572
