ID	Short	Title	Year	Section
1235	Wang et al. 2017	Integrative taxonomy of Leptonetela spiders (Araneae, Leptonetidae), with descriptions of 46 new species	2017	Zoological Research 38:321–448
1236	Wang & Li 2011	A further study on the species of the spider genus Leptonetela (Araneae: Leptonetidae)	2011	Zootaxa 90:1–90
1237	Condé 1966	Campodéidés de la région de Recoaro (Vénétie)	1966	Revue Ecol. Biol. Sol 3:166-169
1238	Papadatou et al. 2012	Status Survey and Conservation Action Plan for Caves and Bats of Prespa	2012	Final report in the framework of the project “Landscape Scale Conservation in the Prespa Lake Basin – Transboundary Species and Habitat Conservation Action Plans.”,  pp 54
1239	Fehér & Szekeres 2016	Taxonomic revision of the rock-dwelling door snail genus <i>Montenegrina</i> Boettger, 1877 (Mollusca, Gastropoda, Clausiliidae)	2016	ZooKeys 559:1–137.
1241	Benda & Uhrin 2017	First records of bats from four Dodecanese islands , Greece (Chiroptera)	2017	Lynx (Prague), 48:15–38
1242	Bristowe 1935	The spiders of Greece and the adjacent islands.	1935	Proc. zool. Soc. Land. 1934:733–788.
1243	Zettler & Zettler 2017	A new species of Niphargus (Amphipoda, Niphargidae) from Crete (Greece)	2017	Crustaceana 90:1415–1426.
1244	Zerche 2008	Eine neue Domene-Art aus Griechenland (Coleoptera: Staphylinidae: Paederinae)	2008	Beitr. Ent. 58(2): 471 - 475
1245	Dietz  et al. 2006	Wing measurement variations in the five European horseshoe bat species (Chiroptera: Rhinolophidae)	2006	J. Mamm. 87(6): 1241–1251
1246	Taylan & Şirin 2016	Speciation of the genus Dolicophoda in Anatolia with reference to the role of ancient central lake system	2016	Insect Systematics and Evolution, 47(3): 267-283
1247	Christian  et al. 2012	Distribution and morphology of the European Karst palpigrade Eukoenenia gasparoi (Arachnida: Palpigradi)	2012	Journal of Arachnology 40:265–273
1248	Beron 2018	Zoogeography of Arachnida	2018	Monographiae Biologicae 94:1–987. Springer International Publishing.
1251	Karaman 2018	Further discovery of new or partially known taxa of the genus Niphargus Schiodte, 1849 (Fam. Niphargidae) in Greece (contribution to the knowledge of the amphipoda 302)	2018	Agriculture & Forestry, 64 (2): 5-31
1252	Wittmann et al 2018	Orthopteren-Beobachtungen auf der Insel Kreta (Griechenland)	2018	Salzburger Entomolog. Arbeitsgem. Haus der Natur, Newsletter, Sonderausg. 2018: 1-25.
1253	Chandler et al. 2005	The Fungus Gnats (Diptera: Bolitophilidae, Diadocidiidae, Ditomyiidae, Keroplatidae and Mycetophilidae) of Greece, its islands and Cyprus	2005	Studia Dipterologica, 12(2): 255–314
1254	Makarov et al. 2013	A new cave species of the genus Hyleoglomeris Verhoeff, 1910, from the Balkan Peninsula (Diplopoda: Glomerida: Glomeridae)	2013	Archive of Biological Sciences, 65(1):341–344
1255	Tanasevitch & Wunderlich 2015	A new Megalepthyphantes Wunderlich 1994 (Araneae: Linyphiidae) from a cave of Crete (Greece)	2015	Beiträge zur Araneologie 9: 452-455
1256	Mammola  et al. 2017	A synthesis on cave-dwelling spiders in Europe	2017	Journal of Zoological Systematics and Evolutionary Research:1–16
1257	Georgiev & Ivanova 2018	Study on the Psocoptera fauna of Corfu (Kerkyra) Island, Greece	2018	Parnassiana Archives, 6:55–62
1258	Di Russo et al. 2018	New species of Dolichopoda Bolívar, 1880 (Orthoptera, Rhaphidophoridae) from the Aegean Islands of Andros, Paros and Kinaros (Greece)	2018	Zoosystema 40 (20): 469-479
1259	Kime & Enghoff 2017	Atlas of European millipedes 2: Order Julida (Class Diplopoda)	2017	European Journal of Taxonomy 346: 1–299.
1260	Vagalinski & Lazányi 2018	Revision of the millipede tribe Brachyiulini Verhoeff, 1909 (Diplopoda: Julida: Julidae), with descriptions of new taxa.	2018	Zootaxa 4421(1):1–142
1261	Casale et al. 2018	Notes on the genus <i>Duvalius</i> in the Pindos chain (Greece), with descriptions of <i>D</i>. (<i>Duvalius</i>) <i>owensi</i> n. sp. and <i>D</i>. (<i>Duvalius</i>) <i>loebli</i> n. sp. (Coleoptera, Carabidae, Trechini)	2018	Ent. Bl. Col. 114:133–143
1262	Malicky 2005	Die Köcherfliegen Griechenlands (Trichoptera).	2005	Denisia 17:1–240
1263	Thaler 2000	Über Kugeltausendfüßer aus Griechenland und Zypern (Diplopoda, Glomerida)	2000	Entomol. Nachr. Ber. 43:195–201.
1264	Franke 1989	Katalog zur Sammlung limnischer COPEPODEN von Prof. Dr. Friedrich Kiefer (mit einem Gesamtverzeichnis seiner Publikationen)	1989	Carolinea - Beiträge zur naturkundlichen Forschung in Südwestdeutschland Beihefte 5:1–433
1265	Assing 2018	The third hypogean Domene species from Greece (Coleoptera: Staphylinidae: Paederinae). Linzer biol. Beitr. 50:17–23.	2018	Linzer biol. Beitr. 50:17–23
1266	Reischütz & Reischütz 2003	Reischütz A, Reischütz PL. 2003. Hellenikä pantoia, 3: Die Schönste von allen. Tsoukatosia (Agiosspeleikos) christinae nov . subgen., nov. spec. (Clausiliidae: Pulmonata: Gastropoda)	2003	Nachrbl. dtsch. malakol. Ges. 11:1–3
1267	Mlíkovský et al. 2011	Type specimens of recent vertebrates in the collections of the National Museum, Prague, Czech Republic	2011	Journal of the National Museum (Prague), Natural History Series, 180(10): 133-164
1268	Bilgin et al. 2008	Regionally and climatically restricted patterns of distribution of genetic diversity in a migratory bat species, Miniopterus schreibersii (Chiroptera: Vespertilionidae)	2008	BMC Evolutionary Biology,. 8: 209
1269	Gardiner et al. 2014	Excepting Myotis capaccinii, the wings’ contribution to take-off performance does not correlate with foraging ecology in six species of insectivorous bat	2014	Biology Open, 2014(3):1057-1062
1270	Ruedi & Castella 2003	Genetic consequences of the ice ages on nurseries of the bat Myotis myotis: a mitochondrial and nuclear survey	2003	Molecular Ecology, 12(6): 1527–1540
1271	Fet et al. 2018	Fauna and zoogeography of scorpions in Greece	2018	In: Sfenthourakis S., Pafilis P., Parmakelis A., Poulakakis N. & Triantis K.A. (Eds) Biogeography and Biodiversity of the Aegean. In honour of Prof. Moysis Mylonas. Broken Hill Publishers Ltd, Nicosia, Cyprus, p. 123-134.
1272	Mendes 2002	New species and new data on Protrinemuridae and Pacific islands from Eastern Asia and Pacific islands	2002	Annales de la Société Entomologique de France, 38(4):399–433
1273	Casale & Giachino 2016	Nesaeoduvalius (gen. n.) vailatii sp. n., from Euboia island (Eastern Greece) (Coleoptera: Carabidae, Trechinae).	2016	Fragm. Entomol. 48:1–8
