ID	Short	Title	Year	Section
529	Deltshev 2000	The endemic spiders (Araneae) of the Balkan peninsula	2e3	In Gajdoł P., Pekár S. (eds): Proceedings of the 18th European Colloquium of Arachnology, Stará Lesná, 1999. Ekológia (Bratislava), 19 (3): 59-65.
530	Ivanova 2000	New data οn bats (Mammalia: Chiroptera) from the Eastem Rhodopes, Greece (Thrace, Evros)	2000	Hist. Nat. Bulg., 11: 117-125.
531	Henderickx 2000	Neobisium (Omatoblothrus) schawalleri sp. nov., a new troglobitic pseudoscorpion from Crete (Arachnida: Pseudoscorpiones: Neobisiidae)	2e3	Phegea, 28 (2): 5-10.
532	Riedel 2000	Die Sammlung der paläarktischen Zonitidae sensu lato (Gastropoda, Stylommatophora) in dem Museum und Institut für Zoologie der PAdW in Warszawa	2e3	Folia Malacol., 8 (1): 37-85.
533	Ketmaier et al. 2000	Biochemical systematics and pattern of genetic divergence between the Troglophilus species of Crete and Rhodos (Orthoptera, Rhaphidophoridae)	2e3	Belg. J. Zool., 130: 51-55.
534	Henderickx & Vets 2000	Neobisium (Omatoblothrus) epirensis sp. nov., a new troglobitic pseudoscorpion from Epirus (Arachnida: Pseudoscorpiones: Neobisiidae)	2000	Phegea, 28 (3): 83-86.
535	Benda & Tsytsulina 2000	Taxonomic revision of Myotis mystacinus group (Mammalia: Chiroptera) in the western Palearctic	2e3	Acta Soc. Zool. Bohemoslov., 64: 331-398.
536	Giani et al. 2001	Oligochaetes in southern European groundwater: New records and an overview	2001	Hydrobiologia, 463: 65-74.
537	Hanak et al. 2001	Bats (Mammalia: Chiroptera) of the Eastern Mediterranean. Part 2. New records and review of distribution of bats in Greece	2001	Acta Soc. Zool. Bohemoslov., 65: 279-346.
538	Senglet 2001	Copulatory mechanisms in Hoplopholcus, Stygopholcus (revalidated), Pholcus, Spermophora and Spermophorides (Araneae, Pholcidae), with additional faunistic and taxonomic data	2001	Mitt. schweiz. ent. Ges., 74: 43-67.
539	Di Russo & Rampini 2001	The Zoodochos cave in Santorini Island	2001	Mem. Biospeol., 55: 201-202.
540	Mahunka 2001	Cave-dwelling oribatid mites from Greece (Acari: Oribatida). (Neue und interessante Milben aus dem Genfer Museum XLIX)	2001	Rev. suisse Zool., 108 (1): 165-188.
541	Enghoff et al. 2001	A new cavernicolous, semiaquatic species of Serradium (Diplopoda, Polydesmidae) and its terrestrial, sympatric congener. With notes on the genus Serradium	2001	Zoologica Scripta, 26 (3): 279-290.
542	Beron 2001	Etude comparative des faunes cavernicoles de la Bulgarie et de la Grèce	2001	Hist. Nat. Bulg., 13: 53-68.
543	Andreev 2001	Contribution а l’étude des Isopodes terrestres de la Grèce. 7. Schizidium beroni sp. n. (Isopoda: Oniscidea: Armadillidiidae) de l’île Santorin	2001	Hist. Nat. Bulg., 13: 89-92.
544	Zapparoli 2002	A catalogue of the centipedes from Greece (Chilopoda)	2002	Fragm. Entomol., 34 (1): 1-146.
545	Bosselaers & Henderickx 2002	A new Savignia from Cretan caves (Araneae: Linyphiidae)	2002	Zootaxa, 109: 1-8.
546	Galvagni 2002	Una nuova Dolichopoda (s.str) de Grecia: D. pavesii n.sp. dell’ isola di Kefallenia (Insecta, Orthoptera, Rhaphidophoridae)	2002	Atti Acc. Rov. Agiati A., 2: 5-15.
547	Blick & Christian 2002	Tasterläufer (Arachnida, Palpigradi) - eine biospeläologische Herausforderung [Micro whipscorpions (Arachnida, Palpigradi) - a biospeleological challenge]	2002	Mitt. Verb. dt. Höhlen- u. Karstforsch., 48 (3): 72-73.
548	Guéorguiev 2002	Laemostenus (Pristonychus) andreevi sp. nov. (Coleoptera: Carabidae: Sphodrini) from North-Eastern Greece	2002	Ann. Zool. (Wars.), 52 (3): 195-200.
549	Henderickx & Vets 2002	A new Larca (Arachnida Pseudoscorpiones Larcidae) from Crete	2002	Bull. br. arachnol. Soc., 12 (6): 280-283.
550	Mitov 2002	Rare and endemic harvestmen (Opiliones, Arachnida) species from the Balkan Peninsula. I. On Mediostoma stussineri (SIMON 1885) (Nemastomatidae) - a new species and genus for the Bulgarian fauna	2002	Linzer biol. Beitr., 34 (2): 1639-1648.
551	Stoev 2002	The scutigeromorphs (Chilopoda Scutigeromorpha) in the collection of the National Museum of Natural History, Sofia	2002	Hist. Nat. Bulg., 15: 79-85.
552	Schmalfuss 2003	World catalog of terrestrial isopods (Isopoda: Oniscidea)	2003	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 654: 1-341.
